city,district,operations,lower,vendors,budget,population
lima,Los Olivos,44,42.20000076293945,2.700000047683716,139.64999389648438,31.81399917602539
lima,Lurigancho,3,59.900001525878906,1.7999999523162842,128.50999450683594,16.93589973449707
lima,Lurin,0,64,0.5,208.97000122070312,6.294000148773193
lima,Magdalena del Mar,30,10.300000190734863,0.10000000149011612,188.57000732421875,5.076399803161621
lima,Miraflores,65,9,0.10000000149011612,733.92999267578125,8.506500244140625
lima,Pueblo Libre,60,10.300000190734863,0.44999998807907104,126.11000061035156,8.772000312805176
lima,Puente Piedra,4,57.400001525878906,1.7999999523162842,89.470001220703125,23.360200881958008
lima,Rimac,30,36.099998474121094,2.700000047683716,61.130001068115234,17.616899490356445
lima,San Borja,35,9,0.30000001192092896,232.5,10.507599830627441
lima,San Isidro,35,9,0.8999999761581421,1191.9200439453125,5.805600166320801
