country,year,average_magnitude,eneg,enep,upper_tier,en_pres,proximity
Brazil,1994,19,2.2197558879852295,8.529999732971191,0,2.6500000953674316,1
Brazil,1998,19,2.2197558879852295,8.140000343322754,0,2.5299999713897705,1
Canada,1949,1,2.4773330688476562,2.8350000381469727,0,0,0
Canada,1953,1,2.4773330688476562,2.8550000190734863,0,0,0
Canada,1957,1,2.4773330688476562,2.990000009536743,0,0,0
Canada,1958,1,2.4773330688476562,2.440000057220459,0,0,0
Canada,1962,1,2.4773330688476562,3.2300000190734863,0,0,0
Canada,1963,1,2.4773330688476562,3.200000047683716,0,0,0
Canada,1965,1,2.4773330688476562,3.309999942779541,0,0,0
Canada,1968,1,2.4773330688476562,2.9700000286102295,0,0,0
Canada,1972,1,2.4773330688476562,3.25,0,0,0
Canada,1974,1,2.4773330688476562,2.9600000381469727,0,0,0
