district_id,contacted,district_competitiveness
District 387,Not Contacted,0.508482832634359
District 387,Not Contacted,0.508482832634359
District 423,Contacted,0.657726315789474
District 423,Not Contacted,0.657726315789474
District 423,Not Contacted,0.657726315789474
District 423,Not Contacted,0.657726315789474
District 478,Not Contacted,0.642848890883643
District 478,Contacted,0.642848890883643
District 474,Not Contacted,0.653665698993309
District 423,Contacted,0.657726315789474
District 423,Not Contacted,0.657726315789474
District 423,Not Contacted,0.657726315789474
District 341,Not Contacted,0.798981236055758
District 341,Contacted,0.798981236055758
District 341,Not Contacted,0.798981236055758
District 341,Contacted,0.798981236055758
District 341,Contacted,0.798981236055758
District 355,Not Contacted,0.786638677285319
District 355,Contacted,0.786638677285319
District 343,Contacted,0.746892051821828
District 343,Contacted,0.746892051821828
District 343,Contacted,0.746892051821828
District 343,Contacted,0.746892051821828
District 479,Not Contacted,0.6449622862449
District 479,Not Contacted,0.6449622862449
District 479,Not Contacted,0.6449622862449
District 479,Not Contacted,0.6449622862449
District 529,Not Contacted,0.811665503771104
District 528,Not Contacted,0.788615311909263
District 529,Not Contacted,0.811665503771104
District 384,Not Contacted,0.684645859087637
District 384,Not Contacted,0.684645859087637
District 384,Not Contacted,0.684645859087637
District 361,Not Contacted,0.853748858986423
District 359,Not Contacted,0.844515990459365
District 359,Not Contacted,0.844515990459365
District 359,Not Contacted,0.844515990459365
District 359,Not Contacted,0.844515990459365
District 560,Contacted,0.717409157118097
District 560,Contacted,0.717409157118097
District 560,Not Contacted,0.717409157118097
District 560,Contacted,0.717409157118097
District 560,Not Contacted,0.717409157118097
District 560,Contacted,0.717409157118097
District 560,Not Contacted,0.717409157118097
District 360,Contacted,0.791368017795353
District 360,Contacted,0.791368017795353
District 360,Contacted,0.791368017795353
District 358,Not Contacted,0.753811926160937
District 358,Contacted,0.753811926160937
District 358,Not Contacted,0.753811926160937
District 358,Not Contacted,0.753811926160937
District 496,Not Contacted,0.647211102994887
District 496,Not Contacted,0.647211102994887
District 496,Not Contacted,0.647211102994887
District 496,Not Contacted,0.647211102994887
District 496,Not Contacted,0.647211102994887
District 496,Not Contacted,0.647211102994887
District 524,Contacted,0.781237985390235
District 524,Not Contacted,0.781237985390235
District 539,Not Contacted,0.773019523010281
District 539,Not Contacted,0.773019523010281
District 539,Contacted,0.773019523010281
District 539,Not Contacted,0.773019523010281
District 539,Not Contacted,0.773019523010281
District 496,Contacted,0.647211102994887
