District,District.Competitiveness,Contacted
382,0.656031555880204,0
351,0.626715715359361,0
420,0.621597709215005,0
420,0.621597709215005,1
420,0.621597709215005,0
420,0.621597709215005,1
329,0.685603653066836,0
329,0.685603653066836,1
329,0.685603653066836,0
431,0.801000283909656,0
431,0.801000283909656,1
431,0.801000283909656,0
431,0.801000283909656,1
431,0.801000283909656,0
327,0.73620559334845,1
327,0.73620559334845,1
327,0.73620559334845,1
327,0.73620559334845,1
327,0.73620559334845,1
327,0.73620559334845,0
327,0.73620559334845,0
554,0.596954301418684,0
554,0.596954301418684,0
554,0.596954301418684,0
559,0.885436893203884,0
559,0.885436893203884,0
559,0.885436893203884,0
559,0.885436893203884,1
320,0.657979600694444,0
553,0.760463371737035,0
553,0.760463371737035,0
553,0.760463371737035,0
559,0.885436893203884,1
559,0.885436893203884,0
536,0.682329108193753,0
536,0.682329108193753,0
565,0.725964283740721,0
565,0.725964283740721,0
565,0.725964283740721,0
457,0.705959132235125,1
457,0.705959132235125,0
402,0.757052616743503,0
402,0.757052616743503,0
402,0.757052616743503,0
402,0.757052616743503,1
320,0.657979600694444,0
538,0.650125296535133,0
538,0.650125296535133,0
538,0.650125296535133,0
457,0.705959132235125,1
457,0.705959132235125,0
533,0.67130558441745,0
533,0.67130558441745,1
364,0.73029030919731,0
552,0.530103957475895,0
552,0.530103957475895,0
365,0.751008979206049,0
365,0.751008979206049,1
365,0.751008979206049,0
365,0.751008979206049,0
365,0.751008979206049,1
525,0.571256268949867,0
525,0.571256268949867,0
525,0.571256268949867,0
525,0.571256268949867,0
548,0.643824268317265,0
533,0.67130558441745,0
533,0.67130558441745,0
541,0.561352828057752,1
541,0.561352828057752,0
541,0.561352828057752,0
541,0.561352828057752,0
344,0.640081609302358,0
344,0.640081609302358,0
448,0.826402856452522,0
448,0.826402856452522,1
448,0.826402856452522,1
448,0.826402856452522,1
514,0.660166037671281,0
514,0.660166037671281,0
514,0.660166037671281,0
513,0.521591525469587,0
513,0.521591525469587,1
513,0.521591525469587,0
513,0.521591525469587,1
509,0.772650702754081,0
510,0.508868133087569,0
510,0.508868133087569,0
510,0.508868133087569,1
510,0.508868133087569,0
330,0.658679224376731,0
330,0.658679224376731,0
502,0.759400882317447,1
502,0.759400882317447,1
502,0.759400882317447,1
579,0.614511884824695,0
579,0.614511884824695,0
480,0.503597061006794,0
486,0.404274047630691,0
486,0.404274047630691,0
486,0.404274047630691,0
486,0.404274047630691,0
486,0.404274047630691,0
332,0.703877382009426,1
534,0.749268075220006,1
534,0.749268075220006,0
534,0.749268075220006,0
534,0.749268075220006,1
534,0.749268075220006,0
482,0.701126118434533,0
482,0.701126118434533,0
482,0.701126118434533,0
523,0.647398644292582,0
394,0.606323898648131,1
394,0.606323898648131,0
324,0.596589942845313,1
340,0.630979696184494,1
340,0.630979696184494,1
340,0.630979696184494,0
340,0.630979696184494,0
340,0.630979696184494,1
340,0.630979696184494,0
575,0.596215616745227,0
575,0.596215616745227,1
575,0.596215616745227,0
505,0.566311988293594,0
505,0.566311988293594,0
505,0.566311988293594,1
328,0.675713698268888,0
328,0.675713698268888,0
328,0.675713698268888,0
505,0.566311988293594,0
505,0.566311988293594,0
505,0.566311988293594,0
505,0.566311988293594,0
390,0.668516710069444,1
390,0.668516710069444,0
390,0.668516710069444,1
390,0.668516710069444,0
390,0.668516710069444,0
493,0.606900603535758,0
493,0.606900603535758,0
493,0.606900603535758,0
493,0.606900603535758,0
493,0.606900603535758,0
493,0.606900603535758,0
503,0.625854847645429,0
503,0.625854847645429,1
503,0.625854847645429,0
503,0.625854847645429,1
503,0.625854847645429,0
442,0.729539518078242,1
442,0.729539518078242,1
447,0.775488111430588,0
447,0.775488111430588,1
447,0.775488111430588,1
447,0.775488111430588,0
570,0.710858787781865,0
570,0.710858787781865,0
568,0.462104,0
568,0.462104,0
568,0.462104,0
568,0.462104,0
491,0.629882754288387,1
491,0.629882754288387,0
491,0.629882754288387,1
491,0.629882754288387,1
491,0.629882754288387,0
491,0.629882754288387,1
500,0.723017276031829,0
500,0.723017276031829,0
500,0.723017276031829,0
473,0.640905338410536,1
473,0.640905338410536,0
473,0.640905338410536,0
336,0.827297726059362,1
336,0.827297726059362,0
336,0.827297726059362,0
336,0.827297726059362,0
354,0.644163462486444,1
354,0.644163462486444,0
354,0.644163462486444,0
472,0.623631636973064,0
472,0.623631636973064,1
472,0.623631636973064,0
336,0.827297726059362,1
336,0.827297726059362,0
336,0.827297726059362,0
348,0.611196351589543,0
391,0.768129477292563,0
547,0.674666587960484,0
379,0.702691121832844,0
547,0.674666587960484,0
404,0.499442615326731,0
404,0.499442615326731,0
404,0.499442615326731,0
345,0.690688,0
345,0.690688,0
345,0.690688,0
345,0.690688,1
345,0.690688,1
345,0.690688,1
544,0.733948712086572,0
544,0.733948712086572,0
542,0.579384242572165,0
542,0.579384242572165,0
450,0.653237194774102,0
450,0.653237194774102,1
450,0.653237194774102,0
450,0.653237194774102,1
450,0.653237194774102,1
436,0.719875346635323,1
452,0.369713358572201,0
508,0.543161572311768,0
508,0.543161572311768,0
434,0.479002384600816,0
446,0.695423928072342,0
446,0.695423928072342,0
446,0.695423928072342,0
446,0.695423928072342,0
446,0.695423928072342,0
435,0.457805,0
435,0.457805,0
435,0.457805,0
435,0.457805,0
435,0.457805,0
515,0.469924,0
515,0.469924,0
515,0.469924,1
537,0.640678282168483,1
537,0.640678282168483,1
537,0.640678282168483,1
537,0.640678282168483,0
537,0.640678282168483,1
537,0.640678282168483,1
477,0.585039940480852,1
477,0.585039940480852,0
477,0.585039940480852,0
569,0.681295029413709,1
569,0.681295029413709,0
476,0.739609653686088,0
334,0.810573163293193,1
334,0.810573163293193,0
477,0.585039940480852,0
356,0.50837877699936,1
356,0.50837877699936,1
356,0.50837877699936,0
322,0.773952966313711,1
322,0.773952966313711,1
322,0.773952966313711,0
322,0.773952966313711,1
322,0.773952966313711,0
455,0.697005977671258,0
455,0.697005977671258,0
455,0.697005977671258,0
455,0.697005977671258,0
517,0.665312993069015,1
517,0.665312993069015,0
517,0.665312993069015,1
454,0.567144204664614,0
511,0.623616823638131,0
511,0.623616823638131,0
352,0.512240398448938,0
352,0.512240398448938,0
511,0.623616823638131,0
488,0.595084760264025,0
488,0.595084760264025,0
488,0.595084760264025,0
389,0.604177786195141,0
389,0.604177786195141,1
389,0.604177786195141,0
487,0.784982511505588,0
487,0.784982511505588,1
487,0.784982511505588,1
487,0.784982511505588,1
421,0.709753351149295,1
421,0.709753351149295,0
421,0.709753351149295,0
421,0.709753351149295,1
421,0.709753351149295,0
437,0.752315183146103,1
437,0.752315183146103,1
437,0.752315183146103,1
437,0.752315183146103,0
462,0.750208,1
564,0.661854694809355,0
564,0.661854694809355,0
564,0.661854694809355,1
564,0.661854694809355,0
564,0.661854694809355,0
357,0.641125108657576,0
357,0.641125108657576,0
357,0.641125108657576,0
426,0.628912,0
426,0.628912,0
357,0.641125108657576,0
357,0.641125108657576,0
357,0.641125108657576,0
357,0.641125108657576,0
489,0.511443338009163,1
489,0.511443338009163,0
407,0.585063,0
407,0.585063,0
499,0.632733469210465,1
499,0.632733469210465,1
395,0.452366863905325,0
407,0.585063,0
395,0.452366863905325,0
395,0.452366863905325,0
407,0.585063,0
325,0.776973696328906,1
325,0.776973696328906,0
325,0.776973696328906,1
325,0.776973696328906,0
325,0.776973696328906,0
325,0.776973696328906,1
440,0.702102780017319,0
440,0.702102780017319,1
440,0.702102780017319,0
429,0.755077238060122,1
429,0.755077238060122,0
429,0.755077238060122,0
439,0.751371399430889,0
439,0.751371399430889,0
439,0.751371399430889,1
441,0.493043828538213,1
339,0.759164127526754,0
417,0.616426221815762,1
417,0.616426221815762,1
438,0.492281999729439,1
438,0.492281999729439,1
438,0.492281999729439,0
501,0.817414017459958,0
501,0.817414017459958,0
572,0.73003985025963,0
573,0.605403348554034,0
573,0.605403348554034,0
562,0.702475497887033,0
562,0.702475497887033,1
562,0.702475497887033,0
562,0.702475497887033,0
403,0.757818046551174,1
403,0.757818046551174,0
403,0.757818046551174,1
403,0.757818046551174,1
403,0.757818046551174,1
403,0.757818046551174,1
403,0.757818046551174,1
403,0.757818046551174,0
403,0.757818046551174,1
497,0.798350979435588,1
497,0.798350979435588,1
497,0.798350979435588,1
497,0.798350979435588,1
494,0.620065273656531,0
494,0.620065273656531,0
494,0.620065273656531,0
494,0.620065273656531,0
494,0.620065273656531,0
397,0.61809553542018,1
397,0.61809553542018,0
